timestamp,reference_valid,klt_r1_valid,klt_r2_valid,klt_r3_valid,splg_r1_valid,splg_r2_valid,splg_r3_valid,xfeat_seed_r1_valid,xfeat_seed_r2_valid,xfeat_seed_r3_valid,common_valid,segment_id
1725639549.9344962,1,0,0,0,0,0,0,0,0,0,0,-1
1725639550.0344961,1,0,0,0,0,0,0,0,0,0,0,-1
1725639550.1344962,1,0,0,0,0,0,0,0,0,0,0,-1
1725639550.2344961,1,0,0,0,0,0,0,0,0,0,0,-1
1725639550.334496,1,0,0,0,0,0,0,0,0,0,0,-1
1725639550.4344962,1,0,0,0,0,0,0,0,0,0,0,-1
1725639550.5344961,1,0,0,0,0,0,0,0,0,0,0,-1
1725639550.6344962,1,0,0,0,0,0,0,0,0,0,0,-1
1725639550.7344961,1,0,0,0,0,0,0,0,0,0,0,-1
1725639550.834496,1,0,0,0,0,0,0,0,0,0,0,-1
1725639550.9344962,1,0,0,0,0,0,0,0,0,0,0,-1
1725639551.0344961,1,0,0,0,0,0,0,0,0,0,0,-1
1725639551.1344962,1,0,0,0,0,0,0,0,0,0,0,-1
1725639551.2344961,1,0,0,0,0,0,0,0,0,0,0,-1
1725639551.334496,1,0,0,0,0,0,0,0,0,0,0,-1
1725639551.4344962,1,0,0,0,0,0,0,0,0,0,0,-1
1725639551.5344961,1,0,0,0,0,0,0,0,0,0,0,-1
