dataset,window,profile,evaluator,arm,replay,scientific_unit,technical_repeat,ape_rmse_m,rpe_rmse_m,coverage,init_success,solver_failures,rpe_pairs,ape_valid,rpe_valid,validity_reason,source_artifact
AQUALOC,A08_4500_4660,oldcontract_microburst,g0_common_support,classical_r1,1,A08_4500_4660_event,True,0.1681581829586235,0.12016461813343197,0.75,,,5,False,False,common_poses=6;span_s=5.0;rpe_pairs=5,/mnt/data/AQUA-FE_WS/validation_20260803/a08_preserve_id_common_support/common_support_summary.json
AQUALOC,A08_4500_4660,oldcontract_microburst,g0_common_support,classical_r2,2,A08_4500_4660_event,True,0.1710806455175714,0.121697837401583,0.75,,,5,False,False,common_poses=6;span_s=5.0;rpe_pairs=5,/mnt/data/AQUA-FE_WS/validation_20260803/a08_preserve_id_common_support/common_support_summary.json
AQUALOC,A08_4500_4660,oldcontract_microburst,g0_common_support,classical_r3,3,A08_4500_4660_event,True,0.16815424639950333,0.12016364647525657,0.75,,,5,False,False,common_poses=6;span_s=5.0;rpe_pairs=5,/mnt/data/AQUA-FE_WS/validation_20260803/a08_preserve_id_common_support/common_support_summary.json
AQUALOC,A08_4500_4660,oldcontract_microburst,g0_common_support,learned_r1,1,A08_4500_4660_event,True,0.13735919686490783,0.09934404244322241,0.75,,,5,False,False,common_poses=6;span_s=5.0;rpe_pairs=5,/mnt/data/AQUA-FE_WS/validation_20260803/a08_preserve_id_common_support/common_support_summary.json
AQUALOC,A08_4500_4660,oldcontract_microburst,g0_common_support,learned_r2,2,A08_4500_4660_event,True,0.13737939617327238,0.09935006368895771,0.75,,,5,False,False,common_poses=6;span_s=5.0;rpe_pairs=5,/mnt/data/AQUA-FE_WS/validation_20260803/a08_preserve_id_common_support/common_support_summary.json
AQUALOC,A08_4500_4660,oldcontract_microburst,g0_common_support,learned_r3,3,A08_4500_4660_event,True,0.1372825416682318,0.09929533791604495,0.75,,,5,False,False,common_poses=6;span_s=5.0;rpe_pairs=5,/mnt/data/AQUA-FE_WS/validation_20260803/a08_preserve_id_common_support/common_support_summary.json
AQUALOC,A03_5000_5900,oldcontract_single_xfeat_lineage,g0_common_support,gftt_r1,1,A03_5000_5900_event,True,0.14392367210422216,0.020421437208291805,0.7111111111111111,,,31,True,True,common_poses=32;span_s=31.0;rpe_pairs=31,/mnt/data/AQUA-FE_WS/validation_20260803/a03_5000_5900_common_support_all/common_support_summary.json
AQUALOC,A03_5000_5900,oldcontract_single_xfeat_lineage,g0_common_support,gftt_r2,2,A03_5000_5900_event,True,0.1441654161272341,0.020440148271250076,0.7111111111111111,,,31,True,True,common_poses=32;span_s=31.0;rpe_pairs=31,/mnt/data/AQUA-FE_WS/validation_20260803/a03_5000_5900_common_support_all/common_support_summary.json
AQUALOC,A03_5000_5900,oldcontract_single_xfeat_lineage,g0_common_support,gftt_r3,3,A03_5000_5900_event,True,0.14413758766805304,0.020438785962284364,0.7111111111111111,,,31,True,True,common_poses=32;span_s=31.0;rpe_pairs=31,/mnt/data/AQUA-FE_WS/validation_20260803/a03_5000_5900_common_support_all/common_support_summary.json
AQUALOC,A03_5000_5900,oldcontract_single_xfeat_lineage,g0_common_support,klt_r1,1,A03_5000_5900_event,True,0.6703933387116815,0.078768914485927,0.7111111111111111,,,31,True,True,common_poses=32;span_s=31.0;rpe_pairs=31,/mnt/data/AQUA-FE_WS/validation_20260803/a03_5000_5900_common_support_all/common_support_summary.json
