run_dir,frames,xfeat_total,xfeat_frames,first_xfeat_frame,last_xfeat_frame,max_xfeat_per_frame,min_grid_on_xfeat_frames,first_xfeat_age,candidate_total,confirmed_total,pre_basic_total,geometry_on_xfeat_frames
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen27_ntnu_fjord2_s510_d10_probe,100,0,0,,,0,,,83,21,111,
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen27_ntnu_fjord2_s570_d10_probe,100,9,3,8,10,4,0.8333333333333334,4.0,55,18,31,degraded_texture:3
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen28_ntnu_fjord2_s490_d10_probe,100,13,3,6,8,5,0.7916666666666666,3.0,56,33,145,degraded_texture:3
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen28_ntnu_fjord2_s530_d10_probe,100,50,3,3,5,25,0.75,3.0,380,147,2797,normal:3
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen29_ntnu_fjord2_s460_d10_probe,100,0,0,,,0,,,67,28,156,
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen29_ntnu_fjord2_s470_d10_probe,100,0,0,,,0,,,58,46,150,
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen30_ntnu_fjord2_s130_d10_probe,100,0,0,,,0,,,113,23,84,
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen30_ntnu_fjord2_s290_d10_probe,100,11,3,5,7,4,0.7916666666666666,4.0,30,8,7,degraded_texture:3
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen31_ntnu_fjord2_s120_d10_probe,100,0,0,,,0,,,132,63,836,
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen31_ntnu_fjord2_s210_d10_probe,100,0,0,,,0,,,0,0,0,
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen32_ntnu_fjord2_s430_d10_probe,100,16,3,8,10,6,0.8333333333333334,3.0,49,28,32,degraded_texture:3
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen32_ntnu_fjord2_s480_d10_probe,100,9,3,36,38,4,0.7916666666666666,3.5,42,20,99,degraded_texture:3
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen33_ntnu_fjord2_s200_d10_probe,100,0,0,,,0,,,19,16,107,
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen33_ntnu_fjord2_s580_d10_probe,100,0,0,,,0,,,3,0,0,
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen34_ntnu_fjord2_s340_d10_probe,100,50,5,1,5,16,0.7916666666666666,3.0,45,24,59,normal:5
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen34_ntnu_fjord2_s410_d10_probe,100,13,3,15,17,5,0.7916666666666666,4.0,42,16,136,degraded_texture:3
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen35_ntnu_fjord2_s140_d10_probe,100,0,0,,,0,,,89,61,110,
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen35_ntnu_fjord2_s270_d10_probe,100,0,0,,,0,,,38,24,105,
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen36_ntnu_fjord2_s190_d10_probe,100,0,0,,,0,,,6,0,98,
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen36_ntnu_fjord2_s360_d10_probe,100,0,0,,,0,,,24,0,0,
logs/ntnu_vins/external_hybrid_xfeat_every2_jul16screen43_ntnu_fjord2_s300_d10_probe,100,0,0,,,0,,,0,0,74,
