timestamp,reference_valid,full_valid,drop_valid,klt_valid,common_valid,segment_id
1725640036.6289287,1,0,0,0,0,-1
1725640036.7289286,1,0,0,0,0,-1
1725640036.8289287,1,0,0,0,0,-1
1725640036.9289286,1,0,0,0,0,-1
1725640037.0289288,1,0,0,0,0,-1
1725640037.1289287,1,0,0,0,0,-1
1725640037.2289286,1,0,0,0,0,-1
1725640037.3289287,1,0,0,0,0,-1
1725640037.4289286,1,0,0,0,0,-1
1725640037.5289288,1,0,0,0,0,-1
1725640037.6289287,1,0,0,0,0,-1
1725640037.7289286,1,0,0,0,0,-1
1725640037.8289287,1,0,0,0,0,-1
1725640037.9289286,1,0,0,0,0,-1
1725640038.0289288,1,0,0,0,0,-1
1725640038.1289287,1,0,0,0,0,-1
1725640038.2289286,1,0,0,0,0,-1
1725640038.3289287,1,0,0,0,0,-1
1725640038.4289286,1,0,0,0,0,-1
1725640038.5289288,1,0,0,0,0,-1
1725640038.6289287,1,0,0,0,0,-1
1725640038.7289286,1,0,0,0,0,-1
1725640038.8289287,1,0,0,0,0,-1
1725640038.9289286,1,0,0,0,0,-1
1725640039.0289288,1,0,0,0,0,-1
1725640039.1289287,1,0,0,0,0,-1
1725640039.2289286,1,0,0,0,0,-1
1725640039.3289287,1,0,0,0,0,-1
1725640039.4289286,1,0,0,0,0,-1
1725640039.5289288,1,0,0,0,0,-1
1725640039.6289287,1,0,0,0,0,-1
1725640039.7289286,1,0,0,0,0,-1
1725640039.8289287,1,0,0,0,0,-1
1725640039.9289286,1,0,0,0,0,-1
1725640040.0289288,1,0,0,0,0,-1
1725640040.1289287,1,0,0,0,0,-1
1725640040.2289286,1,0,0,0,0,-1
1725640040.3289287,1,0,0,0,0,-1
1725640040.4289286,1,0,0,0,0,-1
1725640040.5289288,1,0,0,0,0,-1
1725640040.6289287,1,0,0,0,0,-1
1725640040.7289286,1,0,0,0,0,-1
1725640040.8289287,1,0,0,0,0,-1
1725640040.9289286,1,0,0,0,0,-1
1725640041.0289288,1,0,0,0,0,-1
1725640041.1289287,1,0,0,0,0,-1
1725640041.2289286,1,0,0,0,0,-1
1725640041.3289287,1,0,0,0,0,-1
1725640041.4289286,1,0,0,0,0,-1
1725640041.5289288,1,0,0,0,0,-1
1725640041.6289287,1,0,0,0,0,-1
1725640041.7289286,1,0,0,0,0,-1
1725640041.8289287,1,0,0,0,0,-1
1725640041.9289286,1,0,0,0,0,-1
1725640042.0289288,1,0,0,0,0,-1
1725640042.1289287,1,0,0,0,0,-1
1725640042.2289286,1,0,0,0,0,-1
