family,run_dir,feature_frames,xfeat_observations,xfeat_active_frames,xfeat_first_frame,xfeat_last_frame,xfeat_max_per_frame
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul14_frozenneg_cirs_s840_d30_probe_oldcontract_densecap,150,12,2,23,24,11
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul14frozen3way_cirs_s450_d30_probe_oldcontract_densecap,150,12,3,31,33,4
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul14frozen3way_cirs_s840_d30_probe_oldcontract_densecap,150,12,2,23,24,11
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul15screen_cirs_s510_d30_probe,150,12,3,20,22,6
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jun25_xfeat_arbitrated_cross1_s450_d30_probe_oldcontract_densecap,150,12,3,31,33,4
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jun25_xfeat_arbitrated_cross1_s840_d30_probe_oldcontract_densecap,150,12,2,23,24,11
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jun25_xfeat_arbitrated_threeway_probe_s450_d30_probe_oldcontract_densecap,150,12,3,31,33,4
cirs_caves_vins,logs/cirs_caves_vins/external_hybrid_xfeat_every1_jun25_xfeat_arbitrated_threeway_probe_s840_d30_probe_oldcontract_densecap,150,12,2,23,24,11
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul04_frac_ntnu_fjord1_s75p3_d10_probe_oldcontract_densecap,100,12,3,3,5,5
ntnu_vins,logs/ntnu_vins/external_hybrid_xfeat_every2_jul04_neighbor3_ntnu_fjord1_s83p3_d10_probe_oldcontract_densecap,100,12,3,1,3,4
