case_id,cohort,official_fresh_20,independent_cluster,dataset_family,sequence,window,arm,run_dir,ape_rmse_m,rpe_rmse_m,ape_valid,rpe_valid,common_grid_count,common_matched_count,common_span_s,common_coverage,common_rpe_pairs,threshold_divergence,both_metrics_invalid,divergent_or_invalid,solver_risk,learned_track_ids,g0_summary,metric_contract
a02_8600_9000,stress,1,AQUALOC_A02_8600,aqualoc_archaeo,A02,A02_8600-9000,klt,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_jul14frozen3way_a02_8600_9000_klt_idle_r1,0.07168692256045983,0.02399679559206966,0,1,19,13,12.0,0.6842105263157895,12,0,0,0,1,0,papers/e3_g0_common_support/a02_8600_9000/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
a08_4480_4680,stress,1,AQUALOC_A08_4480,aqualoc_archaeo,A08,A08_4480-4680,full,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_jul14frozen3way_a08_4480_4680_full_idle_r1,0.25252668456769733,0.1399134215246967,0,0,10,8,7.0,0.8,7,0,1,1,0,0,papers/e3_g0_common_support/a08_4480_4680/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
a08_4480_4680,stress,1,AQUALOC_A08_4480,aqualoc_archaeo,A08,A08_4480-4680,drop,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_jul14frozen3way_a08_4480_4680_drop_idle_r1,0.25253153455966,0.13991428064408648,0,0,10,8,7.0,0.8,7,0,1,1,0,0,papers/e3_g0_common_support/a08_4480_4680/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
a08_4480_4680,stress,1,AQUALOC_A08_4480,aqualoc_archaeo,A08,A08_4480-4680,klt,/home/ma/AQUA-FE_WS/logs/aqualoc_archaeo_vins/external_klt_every2_jul14frozen3way_a08_4480_4680_klt,0.252534393599059,0.13991825041534323,0,0,10,8,7.0,0.8,7,0,1,1,0,0,papers/e3_g0_common_support/a08_4480_4680/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
fjord5_s110_d10,stress,1,NTNU_fjord5_s110,ntnu,fjord_5,fjord_5_s110_d10,full,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_klt_every2_jul14frozen3way_fjord5_s110_d10_full,6.694162731728395,3.7230109078793334,0,1,4407,80,7.900000095367432,0.018152938506920808,70,1,0,1,0,0,papers/e3_g0_common_support/fjord5_s110_d10/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
fjord5_s110_d10,stress,1,NTNU_fjord5_s110,ntnu,fjord_5,fjord_5_s110_d10,drop,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_jul14frozen3way_fjord5_s110_d10_drop_lineage,6.694326710940802,3.7230920177103566,0,1,4407,80,7.900000095367432,0.018152938506920808,70,1,0,1,0,0,papers/e3_g0_common_support/fjord5_s110_d10/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
fjord5_s110_d10,stress,1,NTNU_fjord5_s110,ntnu,fjord_5,fjord_5_s110_d10,klt,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_klt_every2_jul14frozen3way_fjord5_s110_d10_klt,6.694162731728395,3.7230109078793334,0,1,4407,80,7.900000095367432,0.018152938506920808,70,1,0,1,0,0,papers/e3_g0_common_support/fjord5_s110_d10/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
cirs_s450_d30,stress,1,CIRS_s450,cirs,cala_viuda,s450_d30,full,/home/ma/AQUA-FE_WS/logs/cirs_caves_vins/external_klt_every1_jul14frozen3way_cirs_s450_d30_full,1.2367398823971991,0.8662203216710883,1,1,309,222,22.100000143051147,0.7184466019417476,212,0,0,0,0,0,papers/e3_g0_common_support/cirs_s450_d30/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
cirs_s450_d30,stress,1,CIRS_s450,cirs,cala_viuda,s450_d30,drop,/home/ma/AQUA-FE_WS/logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul14frozen3way_cirs_s450_d30_drop_lineage,1.2367398823971991,0.8662203216710883,1,1,309,222,22.100000143051147,0.7184466019417476,212,0,0,0,0,0,papers/e3_g0_common_support/cirs_s450_d30/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
cirs_s450_d30,stress,1,CIRS_s450,cirs,cala_viuda,s450_d30,klt,/home/ma/AQUA-FE_WS/logs/cirs_caves_vins/external_klt_every1_jul14frozen3way_cirs_s450_d30_klt,1.2367398823971991,0.8662203216710883,1,1,309,222,22.100000143051147,0.7184466019417476,212,0,0,0,0,0,papers/e3_g0_common_support/cirs_s450_d30/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
cirs_s840_d30,stress,1,CIRS_s840,cirs,cala_viuda,s840_d30,full,/home/ma/AQUA-FE_WS/logs/cirs_caves_vins/external_klt_every1_jul14frozen3way_cirs_s840_d30_full,1.4569742695349353,1.2368182751199108,1,1,310,272,27.100000143051147,0.8774193548387097,262,1,0,1,1,0,papers/e3_g0_common_support/cirs_s840_d30/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
cirs_s840_d30,stress,1,CIRS_s840,cirs,cala_viuda,s840_d30,drop,/home/ma/AQUA-FE_WS/logs/cirs_caves_vins/external_hybrid_xfeat_every1_jul14frozen3way_cirs_s840_d30_drop_lineage,1.4569742695349353,1.2368182751199108,1,1,310,272,27.100000143051147,0.8774193548387097,262,1,0,1,1,0,papers/e3_g0_common_support/cirs_s840_d30/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
cirs_s840_d30,stress,1,CIRS_s840,cirs,cala_viuda,s840_d30,klt,/home/ma/AQUA-FE_WS/logs/cirs_caves_vins/external_klt_every1_jul14frozen3way_cirs_s840_d30_klt,1.4569742695349353,1.2368182751199108,1,1,310,272,27.100000143051147,0.8774193548387097,262,1,0,1,1,0,papers/e3_g0_common_support/cirs_s840_d30/common_support_summary.json,G0_COMMON_SUPPORT_1S_TRANSLATION_RPE
